,mean_MAE,sza,grain_size,algae,lwc,bc,dust,indices,single_indices
070823_SNOWTEST1,0.0055820346,50.000000596046455,798.6098507570588,15760.433184467682,0.08001173319773709,0.3071678227646307,71399.05086912893,0,0
070823_SNOWTEST2,0.0048650736,50.000000596046455,814.7258232936116,17693.12531059395,0.07853324631013488,364.3512918082328,33951.410824153434,1,1441
070823_SNOWTEST3,0.005213567,38.99999991059303,682.3440812156571,16165.996513885399,0.07597346798004972,151.08417409094088,69803.41512217837,2,722
070823_SNOWTEST4,0.0075337654,40.60000017285347,654.3668406201181,17088.74016267268,0.06772601504952742,2.1143246547875445,38590.12831932639,3,183
070823_SNOWTEST5,0.005059089,42.19999969005585,776.6952018894337,15510.030095660406,0.06809696935925659,92.96787126839318,144957.9355469497,4,1804
070823_SNOWTEST6,0.0055647516,44.39999967813492,683.0866322603864,38296.17827406592,0.059532840016430416,257.44311730602175,138213.77677207187,5,1805
070823_SNOWTEST7,0.0054812278,46.20000034570694,759.2201801948758,61526.298946415925,0.0595139854616682,245.75399351819578,80753.13674333441,6,3426
070823_SNOWTEST8,0.0056740833,49.000000059604645,785.3074210808622,51282.266228486464,0.053736395724170744,127.59911357095127,110200.14244185902,7,727
070823_SNOWTEST9,0.0077847973,55.39999961853028,1330.8351592672816,362.26376533455345,0.07059167052685461,522.1943622865485,4363.37855217554,8,2888
070923_SNOW10,0.0050354493,48.69999945163727,1209.4336018260012,14121.844564690735,0.06563198761033336,0.2352353965097799,63483.63708715419,9,549
070923_SNOW1,0.0058829165,38.200000151991844,853.9140309907823,33260.775761605684,0.07528204119298272,416.1530446888797,721.8448955522085,10,910
070923_SNOW2,0.0052680536,38.29999998211861,1154.463917205249,16267.143261384876,0.06580490154936354,80.17318109107364,27919.458454540392,11,1451
070923_SNOW3,0.0064646197,38.50000001490116,1347.242372530759,60.90825447699308,0.05764873597431366,235.90985522399433,463.9448073647298,12,2712
070923_SNOW4,0.0055106236,38.99999991059303,1101.1621972897854,29889.778974181652,0.0678485802864806,196.78259928748096,243.58140214414848,13,3073
070923_SNOW5,0.005451803,39.899999871850014,928.1420085800816,16986.99783122428,0.0712242633608631,0.36954605067935564,71026.48855722672,14,374
070923_SNOW6,0.0050903023,41.199999898672104,720.3868397534318,43206.89854272996,0.08158199950679208,549.5453550718263,24364.502973943854,15,915
070923_SNOW7,0.005995062,42.90000036358833,740.1252688864574,26781.904539434196,0.0791725591014103,135.50663071294218,66332.44841646955,16,16
070923_SNOW8,0.006064893,44.49999988079071,856.1423904675424,8455.276081287062,0.0843073974161802,139.52813482381345,37327.74826758239,17,1637
070923_SNOW9,0.0053302324,46.20000034570694,933.0560693250738,26154.81097062763,0.08176180118024991,347.30963859491544,49212.08974472347,18,3078
071123_SNOW10,0.0051763775,40.20000010728836,763.2604694314575,29698.353215036208,0.06300727059049317,115.39763336969001,40136.59844704461,19,2359
071123_SNOW1,0.0053997426,44.6000000834465,916.8595492897888,27193.44161336619,0.05211143314332063,136.6747966493223,38906.04397032037,20,2360
071123_SNOW2,0.0056849704,42.999999821186066,809.5623499388365,33557.12412222116,0.053404243854912666,287.6550997811229,135.51922874103767,21,2001
071123_SNOW3,0.005502856,40.70000000298023,762.1038520446965,38404.45445505478,0.05988062889492612,231.90872802192155,81.15179515837518,22,1282
071123_SNOW4,0.0055867354,40.000000074505806,759.798178402286,51357.133585748525,0.05827461404953577,222.25927595125742,344.09763434532664,23,563
071123_SNOW5,0.0054421676,39.30000014603138,658.4591712531816,26901.069017330614,0.05817394384808151,60.65564084106208,38751.786711871304,24,204
071123_SNOW6,0.004874744,38.90000008046627,753.6728834973604,25796.747271275777,0.06372117496490477,179.174843902214,20284.06310885459,25,925
071123_SNOW7,0.0052600275,38.599999845027924,777.4665316012802,5270.724412915548,0.06176368037337742,0.2595155131652371,76868.64516191695,26,2906
071123_SNOW8,0.005266271,38.79999987781048,803.6356037997712,8389.886008266167,0.0727237949683962,0.476189424919751,104937.62076043218,27,2547
071123_SNOW9,0.0053122123,38.99999991059303,756.4375522266045,49968.424145560435,0.06957798074579247,418.5232556270028,37824.060260157166,28,2188
071323_SNOW10,0.0047336244,38.700000047683716,676.9057337779099,28396.782438258986,0.07860355776876222,318.6588888452839,49836.45017633095,29,1289
071323_SNOW11,0.0058213617,38.90000008046627,557.9346259792677,28636.697803330226,0.06657284930812754,0.7410264498232108,65669.07278902362,30,1110
071323_SNOW12,0.0049802517,38.99999991059303,640.0794166638063,16311.040480080812,0.06786683536528065,87.16950738646321,56862.51786291203,31,2551
071323_SNOW13,0.0050141113,39.500000178813934,664.4038615388221,15755.260560015684,0.0719142415098443,113.88562447331812,25271.85283589768,32,2552
071323_SNOW1,0.0056614634,40.799999833106995,803.0668484275775,27678.725985515393,0.06187131307212462,123.20103689435999,49905.67736570844,33,573
071323_SNOW2,0.005622989,40.400000140070915,799.127478257484,25617.389530384036,0.06057539094561558,37.763954636431876,53591.6945689847,34,1114
071323_SNOW3,0.00652763,40.000000074505806,789.915353924099,17617.961124507056,0.06662947684065386,3.324238676288449,12167.427433169645,35,575
071323_SNOW4,0.006258717,39.69999983906746,692.4766862415064,18648.66589516737,0.06215297887071872,1.7145476688528365,12421.680163884846,36,2376
071323_SNOW5,0.005878222,39.500000178813934,671.0976444031901,15525.21169660201,0.06674952876412829,1.7941035592417458,17303.33939986607,37,3097
071323_SNOW6,0.0050802557,39.19999994337559,619.8876198876881,18114.351891516188,0.07215919587795651,72.44184343119936,105555.77790255417,38,2378
071323_SNOW7,0.0051476425,39.100000113248825,541.6531809824694,19910.36350524343,0.08309210346384932,126.393618864538,78541.71998943255,39,1119
071323_SNOW8,0.0052922447,38.90000008046627,594.7582678676279,17995.669145997006,0.07940694633710756,47.390417149408286,70787.00574429799,40,760
071323_SNOW9,0.004721593,38.79999987781048,684.794505368738,15621.079126132918,0.07893582044544115,243.63350417655184,33628.05373826279,41,581
071423_SNOW10,0.006502175,41.8000003695488,845.5041034821563,63608.265843056375,0.07228613254048673,974.2203956518574,262.6556783134614,42,1122
071423_SNOW11,0.0059063174,42.100000232458115,743.0454134639609,20733.901530168783,0.07447857231723191,435.20981151473364,36496.57324738471,43,2563
071423_SNOW12,0.0063781827,42.29999989271164,711.8577479093946,44156.682392850285,0.07149553399858918,868.3895699167239,51766.78412831163,44,3464
071423_SNOW13,0.0056553744,42.80000016093254,670.423459636641,81572.20569774215,0.0693511052551452,661.887165778026,84682.18011639857,45,2745
071423_SNOW14,0.0055401255,43.69999974966049,798.0141137388574,1817.3905698634894,0.07140541478998691,531.3146572402788,744.161911011235,46,1306
071423_SNOW15,0.0046873577,43.69999974966049,638.0159508520627,34833.73651547464,0.06959656030495515,106.45934231906642,238346.69682569188,47,1307
071423_SNOW16,0.004741289,44.20000001788139,655.7881154179662,8632.331624115872,0.07265354833556815,375.95983297913875,221226.44323094602,48,408
071423_SNOW17,0.0053490936,45.19999980926514,686.5596601118449,7058.12287199323,0.07272709569651123,446.2763530386675,206888.9708097583,49,2389
071423_SNOW18,0.0047961385,46.20000034570694,617.849197825462,7169.552318990551,0.07227705991235248,207.0666170314435,190221.22069866056,50,2030
071423_SNOW19,0.004416395,46.800000071525574,949.3213667915438,6185.74755745783,0.06745440285418725,379.58215507107224,190943.7444176733,51,1491
071423_SNOW1,0.004676541,38.90000008046627,664.74469642975,47642.35268473532,0.07260617737657443,665.1637136647239,316144.52733905346,52,1312
071423_SNOW20,0.005552136,48.099999725818634,668.0609351151087,13206.960584277806,0.06949152314280463,1.2561504897091604,347778.73429736117,53,413
