,mean_MAE,sza,grain_size,algae,lwc,bc,dust,indices,single_indices
070823_SNOWTEST1,0.0055820732,50.000000596046455,798.6096267331088,15760.513667105713,0.08001179177031206,0.31014084258910996,71396.9548490981,0,0
070823_SNOWTEST2,0.0048655234,50.000000596046455,814.7507639341949,17695.93687322212,0.07853460377000622,364.3871196689552,33982.696622776384,1,1
070823_SNOWTEST3,0.0052135754,38.99999991059303,682.3444409699648,16166.051284900735,0.07597349433285443,151.0848755857246,69804.06476442346,2,2
070823_SNOWTEST4,0.0075343563,40.60000017285347,654.36388694341,17088.932153561822,0.06772626572570753,2.1369578236261546,38570.78389223418,3,3
070823_SNOWTEST5,0.00505918,42.19999969005585,776.6969490837855,15510.254527992241,0.06809708697566678,92.97097759301387,144960.40844917245,4,4
070823_SNOWTEST6,0.0055647767,44.39999967813492,683.087203101634,38296.24334597262,0.05953286736659004,257.4439322759988,138213.9991127438,5,5
070823_SNOWTEST7,0.0054812822,46.20000034570694,759.2182884583234,61527.47771604433,0.05951417382142503,245.79276611323627,80715.36360618142,6,6
070823_SNOWTEST8,0.0056740744,49.000000059604645,785.3071583801287,51282.24245773955,0.053736380704435524,127.59880582412973,110200.04141517162,7,7
070823_SNOWTEST9,0.007910145,55.39999961853028,1329.0272435194884,364.8667011637876,0.07035800906028618,513.0023460962018,4447.638214132129,8,8
070923_SNOW10,0.005035501,48.69999945163727,1209.4327815976742,14121.770407321977,0.06563190105437211,0.23212477257044495,63482.219313476424,9,9
070923_SNOW1,0.005882984,38.200000151991844,853.9142213327991,33260.60501277641,0.07528199973228862,416.1478813795499,725.6781704472854,10,10
070923_SNOW2,0.0052680755,38.29999998211861,1154.4628255664431,16266.922400448151,0.0658047210001939,80.17058293763654,27917.027641480578,11,11
070923_SNOW3,0.006467067,38.50000001490116,1347.270470775673,49.99090765031305,0.05765492022734821,235.96451816596834,339.46504961351076,12,12
070923_SNOW4,0.0055106413,38.99999991059303,1101.162574340452,29889.774455194714,0.06784860236064387,196.7822657999581,242.8085157458708,13,13
070923_SNOW5,0.0054518473,39.899999871850014,928.1414440872534,16987.035111110294,0.07122430793304445,0.3725809937896735,71023.74740433722,14,14
070923_SNOW6,0.0050925883,41.199999898672104,721.0139815004109,43243.70242378681,0.08161214236538057,550.1378114182859,24771.124224257284,15,15
070923_SNOW7,0.0059950864,42.90000036358833,740.1258029822739,26781.983893610595,0.07917260259722425,135.50761120379178,66333.29567359775,16,16
070923_SNOW8,0.0060672243,44.49999988079071,856.1613871835415,8458.803746522459,0.08430938541871127,139.5775525161113,37368.909393223825,17,17
070923_SNOW9,0.0053303405,46.20000034570694,933.0584741131897,26155.274858865956,0.08176201490133074,347.3165121996537,49217.407149777275,18,18
071123_SNOW10,0.005176374,40.20000010728836,763.26073038026,29698.37307951279,0.06300728713608535,115.397851591518,40136.82591365777,19,19
071123_SNOW1,0.0053999256,44.6000000834465,916.8636099174503,27194.115252641735,0.05211178859819281,136.68425060570956,38914.06973873911,20,20
071123_SNOW2,0.0056849974,42.999999821186066,809.5610697731413,33556.97136641444,0.053404174563160045,287.65344560825037,135.20355387616078,21,21
071123_SNOW3,0.005502886,40.70000000298023,762.1044342935637,38404.55496910994,0.059880657078577045,231.91041458633873,80.9451771964678,22,22
071123_SNOW4,0.00558678,40.000000074505806,759.7988973222823,51356.707177851385,0.05827455903767573,222.2463511508641,356.8900987515864,23,23
071123_SNOW5,0.005442177,39.30000014603138,658.4593256039203,26901.090732891156,0.058173950802929544,60.65607280424832,38752.027831970925,24,24
071123_SNOW6,0.004875518,38.90000008046627,753.6804046650768,25797.896689884547,0.06372177462566855,179.19113899459117,20297.919917871153,25,25
071123_SNOW7,0.005260031,38.599999845027924,777.4665086549076,5270.725306321767,0.06176369307107893,0.2590544547286171,76868.5136792899,26,26
071123_SNOW8,0.0052663474,38.79999987781048,803.6349658691407,8389.924032652501,0.0727238750071722,0.4804890823619468,104934.14135115467,27,27
071123_SNOW9,0.0053122337,38.99999991059303,756.4368436703511,49968.470149265166,0.06957798388589502,418.5255171243358,37820.551402212484,28,28
071323_SNOW10,0.00473368,38.700000047683716,676.9062629118082,28396.85658866607,0.07860361738361953,318.66065416315126,49835.886074926595,29,29
071323_SNOW11,0.005821461,38.90000008046627,557.9351282028106,28636.80617644834,0.06657290259750033,0.7408522261390597,65668.4207067402,30,30
