,longitude,latitude,date,time,time_zone,diffuse,type,sza
070823_SNOWTEST1,7.46482,60.56764,2023-07-08,1200,Europe/Oslo,0,HCRF25,38.4
070823_SNOWTEST2,7.46482,60.56764,2023-07-08,1239,Europe/Oslo,0,HCRF25,38.1
070823_SNOWTEST3,7.46482,60.56764,2023-07-08,1315,Europe/Oslo,0,HCRF25,39.0
070823_SNOWTEST4,7.46482,60.56764,2023-07-08,1348,Europe/Oslo,0,HCRF25,40.6
070823_SNOWTEST5,7.46482,60.56764,2023-07-08,1412,Europe/Oslo,0,HCRF25,42.2
070823_SNOWTEST6,7.46482,60.56764,2023-07-08,1439,Europe/Oslo,0,HCRF25,44.4
070823_SNOWTEST7,7.46482,60.56764,2023-07-08,1459,Europe/Oslo,0,HCRF25,46.2
070823_SNOWTEST8,7.46482,60.56764,2023-07-08,1527,Europe/Oslo,0,HCRF25,49.0
070823_SNOWTEST9,7.46482,60.56764,2023-07-08,1624,Europe/Oslo,0,HCRF25,55.4
070923_SNOW10,7.46482,60.56764,2023-07-09,1523,Europe/Oslo,0,HCRF25,48.7
070923_SNOW1,7.46482,60.56764,2023-07-09,1225,Europe/Oslo,0,HCRF25,38.2
070923_SNOW2,7.46482,60.56764,2023-07-09,1240,Europe/Oslo,0,HCRF25,38.3
070923_SNOW3,7.46482,60.56764,2023-07-09,1254,Europe/Oslo,0,HCRF25,38.5
070923_SNOW4,7.46482,60.56764,2023-07-09,1314,Europe/Oslo,0,HCRF25,39.0
070923_SNOW5,7.46482,60.56764,2023-07-09,1334,Europe/Oslo,0,HCRF25,39.9
070923_SNOW6,7.46482,60.56764,2023-07-09,1357,Europe/Oslo,0,HCRF25,41.2
070923_SNOW7,7.46482,60.56764,2023-07-09,1420,Europe/Oslo,0,HCRF25,42.9
070923_SNOW8,7.46482,60.56764,2023-07-09,1440,Europe/Oslo,0,HCRF25,44.5
070923_SNOW9,7.46482,60.56764,2023-07-09,1458,Europe/Oslo,0,HCRF25,46.2
071123_SNOW10,7.46482,60.56764,2023-07-11,1336,Europe/Oslo,1,HCRF25,50.0
071123_SNOW1,7.46482,60.56764,2023-07-11,1019,Europe/Oslo,1,HCRF25,50.0
071123_SNOW2,7.46482,60.56764,2023-07-11,1038,Europe/Oslo,1,HCRF25,50.0
071123_SNOW3,7.46482,60.56764,2023-07-11,1112,Europe/Oslo,1,HCRF25,50.0
071123_SNOW4,7.46482,60.56764,2023-07-11,1125,Europe/Oslo,1,HCRF25,50.0
071123_SNOW5,7.46482,60.56764,2023-07-11,1141,Europe/Oslo,1,HCRF25,50.0
071123_SNOW6,7.46482,60.56764,2023-07-11,1156,Europe/Oslo,1,HCRF25,50.0
071123_SNOW7,7.46482,60.56764,2023-07-11,1209,Europe/Oslo,1,HCRF25,50.0
071123_SNOW8,7.46482,60.56764,2023-07-11,1257,Europe/Oslo,1,HCRF25,50.0
071123_SNOW9,7.46482,60.56764,2023-07-11,1305,Europe/Oslo,1,HCRF25,50.0
071323_SNOW10,7.46482,60.56764,2023-07-13,1231,Europe/Oslo,1,HCRF25,50.0
071323_SNOW11,7.46482,60.56764,2023-07-13,1249,Europe/Oslo,1,HCRF25,50.0
071323_SNOW12,7.46482,60.56764,2023-07-13,1256,Europe/Oslo,1,HCRF25,50.0
071323_SNOW13,7.46482,60.56764,2023-07-13,1312,Europe/Oslo,1,HCRF25,50.0
071323_SNOW1,7.46482,60.56764,2023-07-13,1116,Europe/Oslo,1,HCRF25,50.0
071323_SNOW2,7.46482,60.56764,2023-07-13,1124,Europe/Oslo,1,HCRF25,50.0
071323_SNOW3,7.46482,60.56764,2023-07-13,1131,Europe/Oslo,1,HCRF25,50.0
071323_SNOW4,7.46482,60.56764,2023-07-13,1139,Europe/Oslo,1,HCRF25,50.0
071323_SNOW5,7.46482,60.56764,2023-07-13,1146,Europe/Oslo,1,HCRF25,50.0
071323_SNOW6,7.46482,60.56764,2023-07-13,1153,Europe/Oslo,1,HCRF25,50.0
071323_SNOW7,7.46482,60.56764,2023-07-13,1159,Europe/Oslo,1,HCRF25,50.0
071323_SNOW8,7.46482,60.56764,2023-07-13,1209,Europe/Oslo,1,HCRF25,50.0
071323_SNOW9,7.46482,60.56764,2023-07-13,1219,Europe/Oslo,1,HCRF25,50.0
071423_SNOW10,7.46482,60.56764,2023-07-14,1356,Europe/Oslo,0,HCRF25,41.8
071423_SNOW11,7.46482,60.56764,2023-07-14,1401,Europe/Oslo,0,HCRF25,42.1
071423_SNOW12,7.46482,60.56764,2023-07-14,1404,Europe/Oslo,0,HCRF25,42.3
071423_SNOW13,7.46482,60.56764,2023-07-14,1411,Europe/Oslo,0,HCRF25,42.8
071423_SNOW14,7.46482,60.56764,2023-07-14,1423,Europe/Oslo,0,HCRF25,43.7
071423_SNOW15,7.46482,60.56764,2023-07-14,1423,Europe/Oslo,0,HCRF25,43.7
071423_SNOW16,7.46482,60.56764,2023-07-14,1429,Europe/Oslo,0,HCRF25,44.2
071423_SNOW17,7.46482,60.56764,2023-07-14,1441,Europe/Oslo,0,HCRF25,45.2
071423_SNOW18,7.46482,60.56764,2023-07-14,1452,Europe/Oslo,0,HCRF25,46.2
071423_SNOW19,7.46482,60.56764,2023-07-14,1459,Europe/Oslo,0,HCRF25,46.8
071423_SNOW1,7.46482,60.56764,2023-07-14,1230,Europe/Oslo,0,HCRF25,38.9
071423_SNOW20,7.46482,60.56764,2023-07-14,1512,Europe/Oslo,0,HCRF25,48.1
071423_SNOW22,7.46482,60.56764,2023-07-14,1534,Europe/Oslo,0,HCRF25,50.4
071423_SNOW23,7.46482,60.56764,2023-07-14,1547,Europe/Oslo,0,HCRF25,51.8
071423_SNOW24,7.46482,60.56764,2023-07-14,1552,Europe/Oslo,0,HCRF25,52.4
071423_SNOW25,7.46482,60.56764,2023-07-14,1601,Europe/Oslo,0,HCRF25,53.4
071423_SNOW26,7.46482,60.56764,2023-07-14,1605,Europe/Oslo,0,HCRF25,53.8
071423_SNOW27,7.46482,60.56764,2023-07-14,1614,Europe/Oslo,0,HCRF25,54.9
071423_SNOW28,7.46482,60.56764,2023-07-14,1642,Europe/Oslo,0,HCRF25,58.2
071423_SNOW2,7.46482,60.56764,2023-07-14,1237,Europe/Oslo,0,HCRF25,38.9
071423_SNOW3,7.46482,60.56764,2023-07-14,1257,Europe/Oslo,0,HCRF25,39.2
071423_SNOW4,7.46482,60.56764,2023-07-14,1310,Europe/Oslo,0,HCRF25,39.5
071423_SNOW5,7.46482,60.56764,2023-07-14,1317,Europe/Oslo,0,HCRF25,39.8
071423_SNOW6,7.46482,60.56764,2023-07-14,1323,Europe/Oslo,0,HCRF25,40.0
071423_SNOW7,7.46482,60.56764,2023-07-14,1332,Europe/Oslo,0,HCRF25,40.4
071423_SNOW8,7.46482,60.56764,2023-07-14,1343,Europe/Oslo,0,HCRF25,41.0
071423_SNOW9,7.46482,60.56764,2023-07-14,1350,Europe/Oslo,0,HCRF25,41.4
072023_SNOW1,7.46482,60.56764,2023-07-20,1306,Europe/Oslo,1,HCRF25,50.0
072123_SNOW11,7.46482,60.56764,2023-07-20,1218,Europe/Oslo,1,HCRF25,50.0
072123_SNOW12,7.46482,60.56764,2023-07-20,1225,Europe/Oslo,1,HCRF25,50.0
072123_SNOW13,7.46482,60.56764,2023-07-20,1304,Europe/Oslo,1,HCRF25,50.0
072123_SNOW14,7.46482,60.56764,2023-07-20,1328,Europe/Oslo,1,HCRF25,50.0
072123_SNOW15,7.46482,60.56764,2023-07-20,1333,Europe/Oslo,1,HCRF25,50.0
072123_SNOW17,7.46482,60.56764,2023-07-20,1345,Europe/Oslo,1,HCRF25,50.0
072123_SNOW2,7.46482,60.56764,2023-07-20,1039,Europe/Oslo,1,HCRF25,50.0
072123_SNOW3,7.46482,60.56764,2023-07-20,1050,Europe/Oslo,1,HCRF25,50.0
072123_SNOW4,7.46482,60.56764,2023-07-20,1100,Europe/Oslo,1,HCRF25,50.0
072123_SNOW5,7.46482,60.56764,2023-07-20,1105,Europe/Oslo,1,HCRF25,50.0
072123_SNOW6,7.46482,60.56764,2023-07-20,1116,Europe/Oslo,1,HCRF25,50.0
072123_SNOW7,7.46482,60.56764,2023-07-20,1125,Europe/Oslo,1,HCRF25,50.0
072123_SNOW8,7.46482,60.56764,2023-07-20,1132,Europe/Oslo,1,HCRF25,50.0
072123_SNOW9,7.46482,60.56764,2023-07-20,1142,Europe/Oslo,1,HCRF25,50.0
072323_SNOW10,7.46482,60.56764,2023-07-23,1613,Europe/Oslo,0,HCRF25,56.1
072323_SNOW11,7.46482,60.56764,2023-07-23,1625,Europe/Oslo,0,HCRF25,57.5
072323_SNOW12,7.46482,60.56764,2023-07-23,1634,Europe/Oslo,0,HCRF25,58.5
072323_SNOW12_TESTADDALGAE,7.46482,60.56764,2023-07-23,1634,Europe/Oslo,0,HCRF25,58.5
072323_SNOW1,7.46482,60.56764,2023-07-23,1431,Europe/Oslo,0,HCRF25,45.8
072323_SNOW2,7.46482,60.56764,2023-07-23,1437,Europe/Oslo,0,HCRF25,46.3
072323_SNOW3,7.46482,60.56764,2023-07-23,1446,Europe/Oslo,0,HCRF25,47.1
072323_SNOW4,7.46482,60.56764,2023-07-23,1452,Europe/Oslo,0,HCRF25,47.6
072323_SNOW5,7.46482,60.56764,2023-07-23,1505,Europe/Oslo,0,HCRF25,48.8
072323_SNOW6,7.46482,60.56764,2023-07-23,1524,Europe/Oslo,1,HCRF25,50.0
072323_SNOW7,7.46482,60.56764,2023-07-23,1540,Europe/Oslo,1,HCRF25,50.0
